"Nombre comuna","Años","Promedio_personas","Promedio_porcentaje","Min_pobreza","Max_pobreza"
"Canela",5,2160.598286544,0.249632440077315,0.14629176,0.37517312169075
"Río Hurtado",5,1045.38364016,0.239552521380287,0.0776795378842544,0.448935687541962
"Monte Patria",5,7093.92567463,0.218936700963657,0.127703937398395,0.305541425943375
"Punitaqui",5,2351.362974624,0.214491383278005,0.144649480244397,0.27542644739151
"Combarbalá",5,2535.0720309,0.193258029643879,0.109947381329821,0.310253649950027
"La Higuera",5,762.738795326,0.18466168965251,0.107487973836508,0.232500448822975
"Alto Del Carmen",4,947.4370317,0.17730033077365,0.12474888,0.246717646718025
"Los Vilos",5,3184.46502136,0.156146879998304,0.0845242652760587,0.249267801642418
"Alto del Carmen",1,679,0.15272638,0.15272638,0.15272638
"Vicuña",5,4080.5333948,0.148387018325072,0.109148585837204,0.242224603891373
"Illapel",5,4190.327742352,0.132841309452903,0.0805249271472149,0.18050517141819
"Freirina",5,865.198446324,0.131046115738598,0.101043991744518,0.15726887
"Salamanca",5,3400.226627136,0.130684807085006,0.0910756655133426,0.190881058573723
"Ovalle",5,14820.734623496,0.126497211389875,0.05741716,0.211643248796463
"Andacollo",5,1191.609576048,0.119797769436015,0.085378535091877,0.148931995034218
"Paiguano",5,534.3351393,0.117325901996463,0.0829195756913736,0.174475997686386
"Huasco",5,1037.277321734,0.11073974973757,0.09293767,0.134655386209488
"Tierra Amarilla",5,1486.131563604,0.109647021235414,0.0687489601067055,0.14250434
"Coquimbo",5,25963.644662,0.107487372706603,0.0706443084531717,0.134088
"Chañaral",5,1243.930959454,0.100405901295595,0.0576445385813713,0.12068847
"La Serena",5,23147.955304896,0.0985410955489665,0.0592880060549408,0.127650260925293
"Vallenar",5,4841.389709392,0.0965685370083222,0.0873059332370758,0.107278258970081
"Caldera",5,1286.364343972,0.0766047339004677,0.0411112141664641,0.10440639
"Diego de Almagro",1,619,0.07561532,0.07561532,0.07561532
"Copiapó",5,10792.158445504,0.0634281351137531,0.0462421663105488,0.08318904
"Diego De Almagro",4,816.20805562,0.0617592629355126,0.0493929274380207,0.08029524
